time (s),Altitude (m),Airspeed (kmh),ax,ay,GForce
103.1667,15173,475,0.044703831691397945,-0.2878356060440183,0.2912864031749854
103.3333,15150,473,0.03842184086005471,-0.28793944060321414,0.2904915821671383
103.5,15127,471,0.037227743429303205,-0.29868631747997526,0.3009973772819069
103.6667,15104,470,0.03772185271099348,-0.31264490468772255,0.3149123284330815
103.8333,15084,469,0.037568914123803886,-0.29390992775697034,0.29630131444620567
104.0,15064,468,0.10150998845141174,-0.32107564430656094,0.33674002898716837
104.1667,15044,468,0.10268599349684837,-0.3404797275562685,0.35562741477173215
104.3333,15023,467,0.08292910873350962,-0.3291900791200749,0.3394751025722143
104.5,15003,466,-0.020088933246755897,-0.3526765798846562,0.35324826289471106
104.6667,14983,465,-0.09460061292563317,-0.39015418067551993,0.4014592889254049
104.8333,14961,464,-0.06231221839811957,-0.4174751298911081,0.42209986571816455
105.0,14938,463,-0.061484310846131915,-0.44396817155470897,0.44820537461509236
105.1667,14916,462,-0.03561219984652196,-0.4759555087905906,0.4772859469186356
105.3333,14893,461,-0.07885558537444158,-0.4036815987124589,0.4113113619677829
105.5,14870,460,-0.2024873157940071,-0.3779942885057032,0.4288132404676829
105.6667,14848,459,-0.09964567457055697,-0.29779074440691183,0.3140200438109708
105.8333,14827,458,0.020271559912635774,-0.25199710793760194,0.2528111519498437
106.0,14807,457,0.01561457993270622,-0.20853196145825698,0.2091157432048167
106.1667,14786,455,-0.09433064307172422,-0.15555037762862056,0.1819180865189921
106.3333,14765,454,-0.21353271702845592,-0.17927657440485167,0.278812322847992
106.5,14744,453,-0.19920354785944136,-0.2819689534494579,0.34523693920142917
106.6667,14724,452,-0.16576881979840666,-0.3082390969259851,0.3499866318748524
106.8333,14704,452,-0.08457019450732271,-0.3560029941560346,0.3659101660887109
107.0,14684,451,-0.029537878133569926,-0.39852324614669815,0.3996163960148975
107.1667,14663,450,-0.08457019450732271,-0.4192901579858501,0.4277339761847374
107.3333,14643,449,-0.14723187873055432,-0.421792076412186,0.446750245482453
107.5,14623,443,-0.1799785792243465,-0.44759026709465444,0.4824202899728394
107.6667,14602,443,-0.16551743086561704,-0.4564957200387306,0.4855763197830321
107.8333,14581,447,-0.17273438814445566,-0.4581978326044944,0.48967583425271843
108.0,14560,446,-0.12601239945692416,-0.475623460307173,0.4920333330288309
108.1667,14539,445,-0.0790773463258671,-0.4662181870143735,0.47287696561041176
108.3333,14517,444,-0.04549064222819111,-0.45337621191820343,0.45565270553748827
108.5,14496,444,0.032948894302444666,-0.4180960605550988,0.4193923526811696
108.6667,14475,443,0.13514373275090472,-0.33142448870640506,0.35791901348789784
108.8333,14453,443,0.32142293194809746,-0.2628633945574382,0.4152226696368717
109.0,14432,442,0.34005085186781653,-0.22146801695806217,0.4058111191076019
109.1667,14411,442,0.4038156546699329,-0.21987588705039365,0.45979613815549164
109.3333,14390,442,0.3769303700927153,-0.13162123148668858,0.39925011268164196
109.5,14369,442,0.2462576410439671,-0.1999533141268073,0.3172131043996024
109.6667,14348,441,0.08260344579785033,-0.2234581793426473,0.23823703988424874
109.8333,14328,440,-0.0014610133270368006,-0.2395784946577891,0.23958294944013453
110.0,14309,439,-0.006290474046963892,-0.2967846067569271,0.29685126388748856
110.1667,14289,439,0.0024903636256313013,-0.31931163673840574,0.319321347967134
110.3333,14269,438,0.1944143870409205,-0.29390992775697034,0.35239182669665364
110.5,14249,437,0.2822773031312961,-0.24868997722721695,0.3762009843638787
110.6667,14229,436,0.23816177473117023,-0.26709701272101066,0.35785729718365167
110.8333,14209,435,0.13514373275090472,-0.19633510912986948,0.2383512189582544
111.0,14188,433,0.06360172146502645,-0.2419407308794925,0.2501609406598437
111.1667,14168,432,0.060349811861122864,-0.26004098244838975,0.26695207874147875
111.3333,14147,431,0.04764895737040526,-0.30661078224768795,0.3102911454247862
111.5,14126,429,0.04735698370395171,-0.3244211759013382,0.32785939559320754
111.6667,14107,423,0.03635930893421144,-0.36729264259222816,0.3690879091064291
111.8333,14088,423,-0.05734477308619453,-0.41002396192322055,0.4140145798779576
112.0,14070,427,-0.13025405105154725,-0.4426328367934387,0.4613999848538641
112.1667,14051,427,-0.15565879488471263,-0.4015379095153484,0.43065340263710583
112.3333,14033,426,-0.23099124498150847,-0.38330253196941627,0.4475240622271306
112.5,14014,426,-0.2660730039815103,-0.35122660443302967,0.44063019768202527
112.6667,13995,425,-0.22383180736868546,-0.3511519733436077,0.416423325923323
112.8333,13976,423,-0.057049091817627455,-0.2769082548143693,0.28272385902423547
113.0,13956,422,0.10887358927437774,-0.2676397842804431,0.28893686606448826
113.1667,13937,421,0.3424902223334943,-0.2861482944570873,0.44629631279537396
113.3333,13917,419,0.47068511079200187,-0.21987588705039365,0.519509267701238
113.5,13898,413,0.4671028184997482,-0.2234581793426473,0.5178017004274313
113.6667,13878,417,0.3902652446948861,-0.25678907284448615,0.46716976480621064
113.8333,13858,416,0.31107408754825355,-0.25653910075753356,0.4032113566871132
114.0,13838,415,0.17998872515022885,-0.25423935755756816,0.31150215426620986
114.1667,13818,414,0.06630142000411604,-0.2905353045831081,0.29800443202033355
114.3333,13799,413,0.04319823058305941,-0.26883388171119443,0.2722824692877153
114.5,13779,411,0.03133188736496918,-0.26383359871992357,0.2656875137814285
114.6667,13759,410,0.14678618270072927,-0.27062502785732123,0.3078702472383906
114.8333,13740,409,0.22828333234950107,-0.2563953668075356,0.34329559267337456
115.0,13720,408,0.29712564509628975,-0.2635383191922106,0.3971600365803964
115.1667,13701,407,0.29037639874856536,-0.23887289163052722,0.3760036054429736
115.3333,13681,406,0.27485313214879925,-0.23181686135790608,0.3595598718737061
115.5,13662,405,0.26181358820499573,-0.2610006025654662,0.3696859065589484
